approach,share_reviewed,accounts_reviewed,precision,recall
ML2 Gradient boosting,0.08,742,0.5943396226415094,0.5169988276670574
ML2 Gradient boosting,0.085,789,0.5678073510773131,0.5252051582649473
ML2 Gradient boosting,0.09000000000000001,835,0.5413173652694611,0.52989449003517
ML2 Gradient boosting,0.095,881,0.5187287173666288,0.5357561547479485
ML2 Gradient boosting,0.1,928,0.4978448275862069,0.5416178194607268
ML2 Gradient boosting,0.10500000000000001,974,0.48357289527720737,0.552168815943728
ML2 Gradient boosting,0.11,1020,0.4647058823529412,0.5556858147713951
ML2 Gradient boosting,0.115,1067,0.44611059044048734,0.5580304806565064
ML2 Gradient boosting,0.12000000000000001,1113,0.4303683737646002,0.5615474794841735
ML2 Gradient boosting,0.125,1160,0.4163793103448276,0.5662368112543963
ML2 Gradient boosting,0.13,1206,0.4021558872305141,0.5685814771395076
ML2 Gradient boosting,0.135,1252,0.38977635782747605,0.5720984759671747
ML2 Gradient boosting,0.14,1299,0.3787528868360277,0.5767878077373975
ML2 Gradient boosting,0.14500000000000002,1345,0.3687732342007435,0.5814771395076201
ML2 Gradient boosting,0.15,1392,0.35919540229885055,0.5861664712778429
ML2 Gradient boosting,0.155,1438,0.35118219749652296,0.5920281359906213
ML2 Gradient boosting,0.16,1484,0.34029649595687333,0.5920281359906213
ML2 Gradient boosting,0.165,1531,0.33376877857609405,0.5990621336459554
ML2 Gradient boosting,0.17,1577,0.3278376664552949,0.6060961313012896
ML2 Gradient boosting,0.17500000000000002,1623,0.31916204559457795,0.6072684642438453
ML2 Gradient boosting,0.18000000000000002,1670,0.31137724550898205,0.6096131301289566
ML2 Gradient boosting,0.185,1716,0.30536130536130535,0.6143024618991794
ML2 Gradient boosting,0.19,1763,0.29892229154849687,0.6178194607268465
ML2 Gradient boosting,0.195,1809,0.2935323383084577,0.6225087924970691
ML2 Gradient boosting,0.2,1855,0.2894878706199461,0.6295427901524033
ML3 Isolation Forest (unsupervised),0.005,46,0.5869565217391305,0.031652989449003514
ML3 Isolation Forest (unsupervised),0.01,93,0.6021505376344086,0.06565064478311841
ML3 Isolation Forest (unsupervised),0.015,139,0.5971223021582733,0.09730363423212192
ML3 Isolation Forest (unsupervised),0.02,186,0.5860215053763441,0.12778429073856976
ML3 Isolation Forest (unsupervised),0.025,232,0.5818965517241379,0.15826494724501758
ML3 Isolation Forest (unsupervised),0.030000000000000002,278,0.5719424460431655,0.18640093786635403
ML3 Isolation Forest (unsupervised),0.034999999999999996,325,0.5476923076923077,0.20867526377491208
ML3 Isolation Forest (unsupervised),0.04,371,0.5390835579514824,0.23446658851113716
ML3 Isolation Forest (unsupervised),0.045,417,0.5515587529976019,0.2696365767878077
ML3 Isolation Forest (unsupervised),0.049999999999999996,464,0.5431034482758621,0.2954279015240328
ML3 Isolation Forest (unsupervised),0.05,464,0.5431034482758621,0.2954279015240328
ML3 Isolation Forest (unsupervised),0.055,510,0.5392156862745098,0.3223915592028136
ML3 Isolation Forest (unsupervised),0.06,557,0.5296229802513465,0.34583821805392734
ML3 Isolation Forest (unsupervised),0.065,603,0.5223880597014925,0.369284876905041
ML3 Isolation Forest (unsupervised),0.07,649,0.5208012326656395,0.3962485345838218
ML3 Isolation Forest (unsupervised),0.07500000000000001,696,0.514367816091954,0.4196951934349355
ML3 Isolation Forest (unsupervised),0.08,742,0.5134770889487871,0.4466588511137163
ML3 Isolation Forest (unsupervised),0.085,789,0.49936628643852976,0.4618991793669402
ML3 Isolation Forest (unsupervised),0.09000000000000001,835,0.48982035928143713,0.4794841735052755
ML3 Isolation Forest (unsupervised),0.095,881,0.47446083995459704,0.4900351699882767
ML3 Isolation Forest (unsupervised),0.1,928,0.46120689655172414,0.5017584994138335
ML3 Isolation Forest (unsupervised),0.10500000000000001,974,0.4455852156057495,0.5087924970691676
ML3 Isolation Forest (unsupervised),0.11,1020,0.4343137254901961,0.5193434935521688
ML3 Isolation Forest (unsupervised),0.115,1067,0.422680412371134,0.5287221570926143
ML3 Isolation Forest (unsupervised),0.12000000000000001,1113,0.4115004492362983,0.536928487690504
ML3 Isolation Forest (unsupervised),0.125,1160,0.4,0.5439624853458382
ML3 Isolation Forest (unsupervised),0.13,1206,0.39054726368159204,0.552168815943728
ML3 Isolation Forest (unsupervised),0.135,1252,0.3793929712460064,0.5568581477139508
