variant,pr_auc,roc_auc,precision_top5pct
random_188,0.45739102602459747,0.7534108848831396,0.6875
random_189,0.4554133499078227,0.7531166187379551,0.6767241379310345
random_190,0.4544858614697668,0.7530476620697409,0.6637931034482759
random_191,0.4547775970543767,0.7530693719390475,0.6724137931034483
random_192,0.4546713609142821,0.7530219163913967,0.6637931034482759
random_193,0.4568746359860075,0.7532951684964191,0.6831896551724138
random_194,0.45651402711575734,0.75333009911947,0.6896551724137931
random_195,0.45028298272559797,0.7521208176493444,0.6530172413793104
random_196,0.4452408544293218,0.7506638210037975,0.6357758620689655
random_197,0.45870241598575995,0.7537606086111363,0.6896551724137931
random_198,0.45764822682044715,0.7535268796015181,0.6853448275862069
random_199,0.4542532570209524,0.7529382777282347,0.6616379310344828
